frame,time_sec,lane1_in,lane2_in,lane1_out,lane2_out,lane1_queue,lane2_queue
1,0.03,0,0,0,0,0,0
2,0.07,0,0,0,0,0,0
3,0.1,0,0,0,0,0,0
4,0.13,0,0,0,0,0,0
5,0.17,0,0,0,0,0,0
6,0.2,0,0,0,0,0,0
7,0.23,0,0,0,0,0,0
8,0.27,0,0,0,0,0,0
9,0.3,0,0,0,0,0,0
10,0.33,0,0,0,0,0,0
11,0.37,0,0,0,0,0,0
12,0.4,0,0,0,0,0,1
13,0.43,1,0,0,0,1,1
14,0.47,1,0,0,0,1,1
15,0.5,1,0,0,0,1,1
16,0.53,1,0,0,1,2,0
17,0.57,1,0,0,1,3,0
18,0.6,1,0,0,1,2,0
19,0.63,1,0,0,1,2,0
20,0.67,1,0,0,1,2,0
21,0.7,1,0,1,1,1,0
22,0.73,1,0,1,1,1,0
23,0.77,2,0,1,1,2,0
24,0.8,2,0,1,1,2,0
25,0.83,2,0,1,1,2,0
26,0.87,2,0,1,1,2,0
27,0.9,2,0,2,1,1,0
28,0.93,2,0,2,1,1,0
29,0.97,2,0,2,1,2,0
30,1.0,2,0,2,1,2,0
31,1.03,2,0,2,1,2,0
32,1.07,2,0,2,1,2,1
33,1.1,2,0,2,1,2,1
34,1.13,2,0,2,1,1,1
35,1.17,2,1,2,1,1,2
36,1.2,2,1,2,2,1,1
37,1.23,2,1,2,2,2,1
38,1.27,2,1,2,2,2,1
39,1.3,2,1,2,2,2,0
40,1.33,2,1,3,2,2,0
41,1.37,2,1,3,2,1,0
42,1.4,2,1,3,2,1,0
43,1.43,2,1,3,2,1,0
44,1.47,2,1,3,2,1,0
45,1.5,2,1,3,2,1,0
46,1.53,2,1,3,2,1,0
47,1.57,2,1,3,2,1,0
48,1.6,2,1,3,2,1,0
49,1.63,2,1,4,2,0,0
50,1.67,2,1,4,2,0,0
51,1.7,2,1,4,2,0,1
52,1.74,3,1,4,2,1,1
53,1.77,3,1,4,2,1,1
54,1.8,3,1,4,2,1,1
55,1.84,3,1,4,3,1,0
56,1.87,3,1,4,3,2,0
57,1.9,3,1,4,3,2,0
58,1.94,3,1,4,3,2,0
59,1.97,3,1,4,3,2,0
60,2.0,3,1,4,3,2,0
61,2.04,3,1,4,3,2,0
62,2.07,3,1,4,3,1,0
63,2.1,3,2,4,3,1,1
64,2.14,3,2,4,3,1,1
65,2.17,3,2,5,3,0,1
66,2.2,3,2,5,3,0,1
67,2.24,3,2,5,3,0,0
68,2.27,3,2,5,3,0,0
69,2.3,3,2,5,3,0,0
70,2.34,3,2,5,3,1,0
71,2.37,3,2,5,3,1,0
72,2.4,3,2,5,3,1,0
